"name" "ra" "dec"
"Kepler-1501" 289.91852 42.001431
"Kepler-1502" 296.10791 39.319908
"Kepler-1503" 293.72717 42.806759
"Kepler-1504" 289.71201 50.128208
"Kepler-1505" 292.00204 41.786961
"Kepler-1506" 290.1499 41.4646
"Kepler-1508" 298.11887 40.37505
"Kepler-1509" 283.79782 46.931
"Kepler-151" 292.16278 41.023239
"Kepler-1510" 298.95914 48.25782
"Kepler-1511" 288.4212 43.179794
"Kepler-1512" 289.27451 44.470322
"Kepler-1513" 289.7916 39.285328
"Kepler-1514" 292.62747 37.860142
"Kepler-1515" 290.97394 48.178162
"Kepler-1516" 291.4946 44.523499
"Kepler-1518" 300.33237 44.986141
"Kepler-1519" 296.66791 49.461861
"Kepler-152" 286.86548 41.989079
"Kepler-1520" 290.96622 51.504719
"Kepler-1521" 292.69028 37.83498
"Kepler-1522" 289.84323 52.07016
"Kepler-1523" 296.05405 45.827049
"Kepler-1524" 293.88541 39.51981
"Kepler-1525" 290.55951 49.943008
"Kepler-1526" 285.11969 38.866421
"Kepler-1527" 297.41443 46.060822
"Kepler-1528" 287.40295 46.573978
"Kepler-1529" 289.8707 41.04073
"Kepler-153" 282.46051 48.257118
"Kepler-1530" 288.16251 48.16515
"Kepler-1531" 285.14658 39.370789
"Kepler-1532" 296.9028 41.198189
