"cataid" "ra" "dec"
"429" 7985 180.1093 0.8297322
"430" 7992 180.2212 0.8138426
"431" 7996 180.1326 0.7756263
"432" 7997 180.1337 0.7394379
"433" 7998 180.1472 0.6560291
"434" 7999 180.163818751743 0.687985799006198
"435" 8003 180.1919 0.6682986
"436" 8004 180.1966 0.8140653
"437" 8005 180.2201 0.7504476
"438" 8007 180.2351 0.7930857
"439" 8008 180.2395 0.7877015
"440" 8009 180.2481 0.7880926
"441" 8010 180.256 0.6397433
"442" 8011 180.2762 0.7994249
"443" 8012 180.2779 0.6307242
"444" 8014 180.1615 0.6656921
"445" 8016 180.203049050998 0.834979348675991
"446" 8018 180.2426 0.7812483
"447" 8033 180.3124 0.77884
"448" 8036 180.3553 0.8094152
"449" 8037 180.2885 0.6438827
"450" 8038 180.2904 0.7250152
"451" 8039 180.287231118765 0.725621505553394
"452" 8041 180.2942 0.6461958
"453" 8043 180.302462581458 0.676028173264719
"454" 8045 180.3198 0.6482822
"455" 8046 180.3727 0.66721
"456" 8047 180.3779 0.69791
"457" 8048 180.3826 0.7495005
"458" 8050 180.417368600247 0.701387266921524
"459" 8051 180.4242 0.724886
"460" 8052 180.2887 0.7793021
"461" 8057 180.4226 0.7683809
"462" 8075 180.5234 0.6614195
"463" 8076 180.4308 0.7710465
"464" 8077 180.4358 0.6400284
"465" 8078 180.4363 0.800678
"466" 8079 180.451 0.6939007
"467" 8083 180.483593149873 0.80147251942749
"468" 8084 180.4838 0.8301515
"469" 8087 180.5126 0.7717287
"470" 8088 180.513 0.7239431
"471" 8090 180.538 0.8389855
"472" 8091 180.5555 0.8010315
"473" 8093 180.563374025241 0.77740283007177
"474" 8096 180.447628726045 0.637822348100023
"475" 8097 180.4682 0.6991187
"476" 8102 180.490783215353 0.697396833401431
"477" 8107 180.4386 0.6625378
"478" 8108 180.5179 0.8331388
"479" 8118 180.6099 0.6939806
"480" 8122 180.59083737517 0.761866763659209
"481" 8123 180.5919 0.7585039
"482" 8124 180.5944 0.775124
"483" 8125 180.600893400854 0.728567095354522
"484" 8127 180.6273 0.7126148
"485" 8128 180.6851 0.802892
"486" 8129 180.693 0.6889081
"487" 8130 180.7037 0.6914803
"488" 8131 180.7188 0.7401219
"489" 8132 180.7272 0.8316676
"490" 8134 180.596020726327 0.788613411620889
"491" 8135 180.608667569472 0.795829634274492
"492" 8136 180.60895659015 0.751264152746573
"493" 8138 180.6209 0.8339748
"494" 8143 180.651035827229 0.807080776545305
"495" 8145 180.663 0.8278393
"496" 8147 180.6739 0.699017
"497" 8156 180.6631 0.8060576
"498" 8161 180.7635 0.8133783
"499" 8163 180.7738 0.7133962
"500" 8164 180.7823 0.6867908
"501" 8165 180.8066 0.7735898
"502" 8166 180.8209 0.7325355
"503" 8168 180.8525 0.662055
"504" 8170 180.739339570277 0.665687185262491
"505" 8172 180.753391189429 0.810876694205979
"506" 8173 180.761468628329 0.631766243037445
"507" 8176 180.8293 0.6561644
"508" 8178 180.8598 0.7559463
"509" 8184 180.8317 0.8252241
"510" 8186 180.9052 0.704671
"511" 8188 180.9997 0.7469838
"512" 8191 180.926710326774 0.649524414656679
"513" 8203 181.056 0.630519
"514" 8216 181.0493 0.6817315
"515" 8217 181.0522 0.8025784
"516" 8219 181.0651 0.7714144
"517" 8220 181.0753 0.6930799
"518" 8221 181.0808 0.7486659
"519" 8222 181.0863 0.7539786
"520" 8223 181.092 0.6854514
"521" 8224 181.1048 0.695511
"522" 8225 181.1574 0.8229356
"523" 8226 181.1758 0.7224405
"524" 8227 181.175382984492 0.723764624337242
"525" 8228 181.0733 0.6955233
"526" 8237 181.1947 0.8010309
"527" 8238 181.1971 0.7827218
"528" 8239 181.2546 0.7019915
"529" 8241 181.3127 0.6797363
"530" 8242 181.3249 0.8021752
"531" 8243 181.1852 0.8385963
"532" 8245 181.324 0.7751565
"533" 8255 181.3805 0.6907162
"534" 8258 181.4031 0.665733
"535" 8259 181.4465 0.648965
"536" 8262 181.4023 0.6460178
"537" 8263 181.4617 0.7553654
"538" 8264 181.4719 0.6693455
"539" 8268 181.3509 0.7821774
"540" 8276 181.496316412639 0.793442813938596
"541" 8277 181.5472 0.6903745
"542" 8278 181.5554 0.6680335
"543" 8279 181.5606 0.7653056
"544" 8280 181.6197 0.6862396
"545" 8282 181.486193521198 0.645419150777364
"546" 8286 181.5878 0.8266095
"547" 8289 181.620752262192 0.756553204194347
"548" 8297 181.6577 0.6979037
"549" 8298 181.6656 0.6526467
"550" 8299 181.673 0.6984099
"551" 8300 181.6859 0.7080078
"552" 8301 181.6869 0.7011721
"553" 8302 181.700039446276 0.70217659373105
"554" 8303 181.7008 0.6328905
"555" 8304 181.7081 0.759575
"556" 8305 181.7356 0.6780615
"557" 8306 181.738 0.6736127
"558" 8307 181.7455 0.6359639
"559" 8308 181.749167883178 0.766291957854682
"560" 8309 181.7513 0.7748415
"561" 8312 181.675616050163 0.72613162629535
"562" 8314 181.694 0.7228845
"563" 8319 181.738017174533 0.662922105223595
"564" 8320 181.7407 0.8321387
"565" 8325 181.7817 0.636248
"566" 8329 181.8843 0.7790689
"567" 8330 181.8884 0.6828112
"568" 8332 181.783 0.6705112
"569" 8333 181.786 0.7345577
"570" 8334 181.787 0.7096435
"571" 8335 181.8052 0.6945299
"572" 8336 181.8069 0.708718
"573" 8337 181.9028 0.7968045
"574" 8338 181.9039 0.7302769
"575" 8339 181.9066 0.8006483
"576" 8340 181.909 0.7818331
"577" 8344 181.8159 0.6773767
"578" 8345 181.9138 0.6805846
"579" 8353 182.0165 0.6976018
"580" 8360 182.0082 0.7796637
"581" 8361 182.0114 0.7690535
"582" 8363 182.0443 0.8159987
"583" 8365 182.0706 0.7471544
"584" 8366 181.965 0.7243528
"585" 8367 181.968370723628 0.729234134332305
"586" 8368 181.9837 0.7528396
"587" 8371 182.027 0.8008165
